raw_comment,clean_comment
bro might guy is 8th st,bro might guy is 8th st
Where is itachi ???,where is itachi
Shibai is literally king of Ōtsutsuki,shibai is literally king of tsutsuki
"Kaguya Chan❤



















-Sanji",kaguya chan sanji
Itachi😂 also,itachi also
Faltó itachi 😢,falt itachi
"*10 DMS kakashi
   9.Indra 
    8 Asura 
     7 Obito 
      6 sasuke
       5 Naruto 
        4 hamura 
        3 madara 
         2 Hagoromo 
          1kaguya
😢😢",10 dms kakashi 9indra 8 asura 7 obito 6 sasuke 5 naruto 4 hamura 3 madara 2 hagoromo 1kaguya
Itachi be like，                                                   Itachi:What am i? A roach?,itachi be like itachiwhat am i a roach
"Kakashi above Minato? Bro you watched saburo i think. Minato is strong as end game Naruto. And Might Guy is way stronger than Kakashi, Sasuke and Naruto",kakashi above minato bro you watched saburo i think minato is strong as end game naruto and might guy is way stronger than kakashi sasuke and naruto
"For those going on about how he isnt including boruto characters even though the video's entitled strongest NARUTO characters and not BORUTO characters, here's your list:
10. Isshiki Otsutsuki
9. Kaguya Otsutsuki
8. Ada
7. Daemon
6. Naruto (Baryon Mode)
5. Code
4. Kawaki
3. Boruto Uzumaki
2. Jura
1. Shibai Otsutsuki",for those going on about how he isnt including boruto characters even though the videos entitled strongest naruto characters and not boruto characters heres your list 10 isshiki otsutsuki 9 kaguya otsutsuki 8 ada 7 daemon 6 naruto baryon mode 5 code 4 kawaki 3 boruto uzumaki 2 jura 1 shibai otsutsuki
Kaguya otsutsuki,kaguya otsutsuki
hashirama esay difit kakashi,hashirama esay difit kakashi
In shipuden I think obito is slightly stronger than sasuke🤔,in shipuden i think obito is slightly stronger than sasuke
I am OTSUTSUKI 😂,i am otsutsuki
Salute Lekin neeche se 🫡🫡🫡🫡🫡🫡,salute lekin neeche se
Any one tell me this song,any one tell me this song
Number one Shiva,number one shiva
"Indra and ashura, sm kabuto, night guy",indra and ashura sm kabuto night guy
Were is Itachi,were is itachi
"Zetsu can annhilate half of the list, he has Obito's body + his insane flexibility & resistance, i would argue he is the Naruto character with the best hax, unless you destroy the terrain or speedblitz he is gonna kill you",zetsu can annhilate half of the list he has obitos body his insane flexibility resistance i would argue he is the naruto character with the best hax unless you destroy the terrain or speedblitz he is gonna kill you
"Kaguya
Hagoromo
Jubidara
Naruto
Sasuke
DMS Kakashi
Might Guy
Jubito
Hamura
Hashirama
Kcm Minato
Itachi Edo + right eye of shisui
Nagato",kaguya hagoromo jubidara naruto sasuke dms kakashi might guy jubito hamura hashirama kcm minato itachi edo right eye of shisui nagato
Itachi Uchiha,itachi uchiha
He see Naruto in shorts,he see naruto in shorts
Might power 8 naget,might power 8 naget
Itachi laugh in corner,itachi laugh in corner
Naruto should be on number 1 .You forgot that he was the strongest Shinobi 🥷,naruto should be on number 1 you forgot that he was the strongest shinobi
Shibai outsuki,shibai outsuki
"Here is the real ranking -
1.kaguya
2.Hagoromo 
3. Madara (10 tails jinchuriki) 
4.Naruto (6 path sage mode + kcm ) 
5.sasuke (6 path boost + rinnegan)
6.Obito (10 tails jinchuriki)
7.hashirama senju
8.kakashi(dms)
9.might guy
10.minato (kcm)
11.nagato / pain
12.killer bee
13.jiraya 
14.itachi
15.tobirama",here is the real ranking 1kaguya 2hagoromo 3 madara 10 tails jinchuriki 4naruto 6 path sage mode kcm 5sasuke 6 path boost rinnegan 6obito 10 tails jinchuriki 7hashirama senju 8kakashidms 9might guy 10minato kcm 11nagato pain 12killer bee 13jiraya 14itachi 15tobirama
He didn’t flinch for Sakura 😂,he didnt flinch for sakura
Not even half a second was needed to rank Sakura at the bottom 😂😂,not even half a second was needed to rank sakura at the bottom
Bro didn't hesitate 😂😂,bro didnt hesitate
he was just waiting for Sakura being on 10💀,he was just waiting for sakura being on 10
Zoro lost again 💀,zoro lost again
Did Shino dirty Ngl,did shino dirty ngl
reactionless on sakura 😂,reactionless on sakura
Shino got hella aura,shino got hella aura
Man ngl this is probably the best aura ranking possible in here🗿,man ngl this is probably the best aura ranking possible in here
"If we talking pre shippuden Rock Lee, the moment when he drops the weights might have been the most aura any single character had in the show up to that point",if we talking pre shippuden rock lee the moment when he drops the weights might have been the most aura any single character had in the show up to that point
Shino got disrespected,shino got disrespected
Missed opportunity to put 3rd hokage as number 3,missed opportunity to put 3rd hokage as number 3
Bro ranked it perfect,bro ranked it perfect
Kakashi and madara has the most aura literally every person knows them,kakashi and madara has the most aura literally every person knows them
I love how bro didn't hesitate for that pink biscuit 🖐️🥰🤚,i love how bro didnt hesitate for that pink biscuit
This was actually a really great list,this was actually a really great list
2 old friends on top 2 always,2 old friends on top 2 always
Bro was keeping 10th slot free just for Sakura.,bro was keeping 10th slot free just for sakura
HEY BRO I REALLY APPERICIATE IT XD,hey bro i really appericiate it xd
Solid ass list,solid ass list
Those eyes are Too pretty... . ✨🙋🏾‍♀️,those eyes are too pretty
Rock Lee got aura after that Garaa fight,rock lee got aura after that garaa fight
Let bro cook again 👍,let bro cook again
Perfect list,perfect list
W list for real,w list for real
Putting Rock Lee on 6 is A CRIME,putting rock lee on 6 is a crime
Why are you put Sakura haruno 10 💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔,why are you put sakura haruno 10
"Bro didn't even took time, as soon as he saw Sakura 😂😂😂😂😂",bro didnt even took time as soon as he saw sakura
W tier list,w tier list
Ain't no way Hiruzen's bum ahh got 4 while Killer Bee is 5,aint no way hiruzens bum ahh got 4 while killer bee is 5
Why you put sakura in 10th,why you put sakura in 10th
Shino that low is a disgrace,shino that low is a disgrace
Bro saved the bottom for Sakura😂,bro saved the bottom for sakura
bro put mr. 'we see the fit' shino at 9th,bro put mr we see the fit shino at 9th
Justice for Rock Lee🗿🗿🗿,justice for rock lee
The disrespect you Sheeno is wild,the disrespect you sheeno is wild
Bri was saving that 10th place for Sakura 😅,bri was saving that 10th place for sakura
Shino has so much aura and drip ngl,shino has so much aura and drip ngl
I didn’t have time to read her name before he clicked 10 for sakura,i didnt have time to read her name before he clicked 10 for sakura
The aura on rock Lee in the fight against gaara was insane tho,the aura on rock lee in the fight against gaara was insane tho
"rock lee at 6 ""can i take the weights off?""",rock lee at 6 can i take the weights off
"No second guess at all for Sakura, straight to 10",no second guess at all for sakura straight to 10
Shino has more aura than killer bee 🗿,shino has more aura than killer bee
"Shino at 9 is criminal, bro never lost a fight and always cold in naruto",shino at 9 is criminal bro never lost a fight and always cold in naruto
Thats accurate for me bro,thats accurate for me bro
