raw_comment,clean_comment
Honestly my fav fight in this show. It’s like the whole show just lead up to this moment. Them fighting and then sasuke’s realisation. Also Naruto’s self reflecting part earlier before that. So well made. I cried so much when both of them were laying on the rock after being in that other world inside their hearts? Especially cried when I saw how detailed they animated sasukes face when he realised stuff,honestly my fav fight in this show its like the whole show just lead up to this moment them fighting and then sasukes realisation also narutos self reflecting part earlier before that so well made i cried so much when both of them were laying on the rock after being in that other world inside their hearts especially cried when i saw how detailed they animated sasukes face when he realised stuff
2:43 I just realized: Sasuke teleported by swapping with Naruto’s Truthseeker Orb.,243 i just realized sasuke teleported by swapping with narutos truthseeker orb
Most iconic fight in anime history,most iconic fight in anime history
12:58 real fun starts from here you know what I mean 😂,1258 real fun starts from here you know what i mean
"For those that didnt know, that susanoo kirin was not in the manga, it was something studio Pierrot added just for the anime",for those that didnt know that susanoo kirin was not in the manga it was something studio pierrot added just for the anime
"In sasuke's Flame Control Chidori, you can see Itachi's hand with him, supporting him.",in sasukes flame control chidori you can see itachis hand with him supporting him
i love how madara use his susanoo to do a jutsu and they all were shocked to see sasuke shoot fire balls out of his,i love how madara use his susanoo to do a jutsu and they all were shocked to see sasuke shoot fire balls out of his
Hmmm Genin level fight????,hmmm genin level fight
"Nobody noticed during the last moment where naruto had many diff hands to help create the rasengan, sasuke actually had one hand (presumably itachi's) to create the chidori as well.",nobody noticed during the last moment where naruto had many diff hands to help create the rasengan sasuke actually had one hand presumably itachis to create the chidori as well
no matter how much i watch this i cry over and over and over again!,no matter how much i watch this i cry over and over and over again
"What I love at the beginning of this fight is the characters taking the forms of the past to the present, without a soundtrack, without dialogue, just silence and a frank exchange of taijutsu and ninjutsu congratulations to the studio that animated this!",what i love at the beginning of this fight is the characters taking the forms of the past to the present without a soundtrack without dialogue just silence and a frank exchange of taijutsu and ninjutsu congratulations to the studio that animated this
the thing about naruto vs sasuke fights is that they always combine what jutsus they have learnt on the way instead using too many complex jutsus,the thing about naruto vs sasuke fights is that they always combine what jutsus they have learnt on the way instead using too many complex jutsus
I know it's really subtle and normally I wouldn't even notice this sort of thing but right at the beginning of the fight when Sasuke used the fireball jutsu that fireball in particular looked clean as hell,i know its really subtle and normally i wouldnt even notice this sort of thing but right at the beginning of the fight when sasuke used the fireball jutsu that fireball in particular looked clean as hell
The fist bump and the rasengan created from everyone stand by his side 🥺🥹😭,the fist bump and the rasengan created from everyone stand by his side
Just imagine this two Genin participate in Chuunin Exam...LMFAO,just imagine this two genin participate in chuunin examlmfao
"Just remember Sasuke was out to kill, Naruto was trying to subdue.",just remember sasuke was out to kill naruto was trying to subdue
"They summed up the build up of this anime with an incalculable level of excellence. Even the fact that there was barely any battle music unlike their first fight in the Valley, making it raw and honestly adds a great tension to the watcher. It was truly and ending for the ages.",they summed up the build up of this anime with an incalculable level of excellence even the fact that there was barely any battle music unlike their first fight in the valley making it raw and honestly adds a great tension to the watcher it was truly and ending for the ages
"Really hard finding sth that tops this 🔥
( ofc animations will become better with time but impact , meaning , tension , build-up , references and conclusions here is another level of P.E.A.K ❤ )",really hard finding sth that tops this ofc animations will become better with time but impact meaning tension buildup references and conclusions here is another level of peak
Doesnt seem like it hit anyone there but when you realize naruto really was playing defense and trying not to kill sasuke while sasuke was straight trying to murder naruto. The ball was in narutos court the whole time. He sacrificed his arm for his friend. Once he lost that siz paths mode tho sasuke can kill him easily lol,doesnt seem like it hit anyone there but when you realize naruto really was playing defense and trying not to kill sasuke while sasuke was straight trying to murder naruto the ball was in narutos court the whole time he sacrificed his arm for his friend once he lost that siz paths mode tho sasuke can kill him easily lol
"I like Sasuke's fighting style because everything he does is calculated. the fireballs he did with the susanoo at 4:09 was just to warm up the atmosphere enough to use kirin later on, which he does. He did the exact same thing in the Urashiki fight in Boruto and everyone thought he missed when he was doing the exact same thing. He knows he doesn't have as much chacra as naruto but is clever enough to keep up. Sasuke is Goated",i like sasukes fighting style because everything he does is calculated the fireballs he did with the susanoo at 409 was just to warm up the atmosphere enough to use kirin later on which he does he did the exact same thing in the urashiki fight in boruto and everyone thought he missed when he was doing the exact same thing he knows he doesnt have as much chacra as naruto but is clever enough to keep up sasuke is goated
"Here the two main characters are fighting to their death.....but...

12:56 “Hey you lost your skirt,am so happy!!""",here the two main characters are fighting to their deathbut 1256 hey you lost your skirtam so happy
Anyone notice Itachi near Sasuke’s final chidori?!?!,anyone notice itachi near sasukes final chidori
absolute cinema,absolute cinema
"Y""all remember when it came out how fucking hype the internet was for naruto vs sasuke final it was everywhere the shit was real tight and they delivered",yall remember when it came out how fucking hype the internet was for naruto vs sasuke final it was everywhere the shit was real tight and they delivered
One of the best fights in Naruto 🔥 so many times I’ve watched but still I’m getting goosebumps 🔥,one of the best fights in naruto so many times ive watched but still im getting goosebumps
"Out of all the hits in this fight, the headbutt at 14:51 will always be my favorite its so hard and personal and the fact that it was Sasuke who received it who was annoying as hell at this point was the icing on the cake",out of all the hits in this fight the headbutt at 1451 will always be my favorite its so hard and personal and the fact that it was sasuke who received it who was annoying as hell at this point was the icing on the cake
"Best naruto verse fight by far, nowhere does Boruto come close.",best naruto verse fight by far nowhere does boruto come close
"""Can we call it a day, just, same time tomorrow?"" I laughed haha
""indra's arrow"" shows Sasuke's intelligence vs. Naruto's instincts
fuck me 19:42 is so awesome, it's the first time ""negative"" Kurama realizes why ""Positive"" Kurama respected and appreciated Naruto so much. And also accepts it
Fuck me I cry at so many parts on this but seeing the Jiraiya and then Kakashi, Obito, and Rin hands appear to create the Rasengan is just awesome.",can we call it a day just same time tomorrow i laughed haha indras arrow shows sasukes intelligence vs narutos instincts fuck me 1942 is so awesome its the first time negative kurama realizes why positive kurama respected and appreciated naruto so much and also accepts it fuck me i cry at so many parts on this but seeing the jiraiya and then kakashi obito and rin hands appear to create the rasengan is just awesome
YES SWAG INTRO VERY EPIC XD,yes swag intro very epic xd
"Seeing images of everyone helping Naruto make the Rasengan, starting with Jiraiya and ending wih Minato and Kushina, is one of the best moments in the show.",seeing images of everyone helping naruto make the rasengan starting with jiraiya and ending wih minato and kushina is one of the best moments in the show
main character plot is what keeps on saving naruto tbh,main character plot is what keeps on saving naruto tbh
"The final part where they fight hands-to-hands with low chakra is so much better than the crazy godzilla like power-ups. So much emotion, so much meaning and nostalgia, just beautiful",the final part where they fight handstohands with low chakra is so much better than the crazy godzilla like powerups so much emotion so much meaning and nostalgia just beautiful
Thanks for the feature and the credit as always my man 😎🤙,thanks for the feature and the credit as always my man
What a final fight,what a final fight
14:45 when the smiles slowly dissappear. Such a brutal couple seconds.,1445 when the smiles slowly dissappear such a brutal couple seconds
Nice vidioes thanks,nice vidioes thanks
"During the 'Nandomo"" everybody's reaction was the same, they'd just stop talking and just enjoy that powerful line from Sasuke & the voice acting was on point but OF COURSE the guy in the bottom middle had to ruin it by not shutting the hell up. 

I guess he's one of those guys that think ""reacting"" is about talking every 3 seconds.",during the nandomo everybodys reaction was the same theyd just stop talking and just enjoy that powerful line from sasuke the voice acting was on point but of course the guy in the bottom middle had to ruin it by not shutting the hell up i guess hes one of those guys that think reacting is about talking every 3 seconds
"I still love the fact this is one of the first times naruto ever made a rasengan with 0 help from clones or kurama, just the visions of his friends.",i still love the fact this is one of the first times naruto ever made a rasengan with 0 help from clones or kurama just the visions of his friends
Sasuke looks damn cool when he absorbs the bijuuu chakra with the badass theme in bg,sasuke looks damn cool when he absorbs the bijuuu chakra with the badass theme in bg
"Probably one of my biggest regrets in life now is not watching Naruto growing up since it came out the year I was born sadly no one introduced me to the show and I was stuck to video games and Disney,nick, and Cartoon Network just finished it at 19 and currently on Boruto at 20",probably one of my biggest regrets in life now is not watching naruto growing up since it came out the year i was born sadly no one introduced me to the show and i was stuck to video games and disneynick and cartoon network just finished it at 19 and currently on boruto at 20
What's crazy is that Naruto has been fighting this whole time with only half of Kurama. Just goes to show how much chakra the nine tails has and can accumulate with only 50% of himself and how op Naruto would be with 100% Kurama.,whats crazy is that naruto has been fighting this whole time with only half of kurama just goes to show how much chakra the nine tails has and can accumulate with only 50 of himself and how op naruto would be with 100 kurama
"Dope ass fight
One the Best fights in Anime Easily",dope ass fight one the best fights in anime easily
The fact that sasuke was going for the kill the whole fight while naruto was trying to save sasuke the whole fight shows that naruto was holding back a lot just to save his friend,the fact that sasuke was going for the kill the whole fight while naruto was trying to save sasuke the whole fight shows that naruto was holding back a lot just to save his friend
That fist bump 😭😭😭,that fist bump
@14:04 Sasuke fell for the clone decoy without having his sharingan. I love the little details in this fights. There's many more.,1404 sasuke fell for the clone decoy without having his sharingan i love the little details in this fights theres many more
They were surprised that Sasuke could use BanShouTenBiKi😂😂,they were surprised that sasuke could use banshoutenbiki
THATS A FUCKING MASTERPIECE IF THERES SOMETHING LIKE A MASTERPIECE IN ANIME. INEVITABILITY OF CONFRONTATION,thats a fucking masterpiece if theres something like a masterpiece in anime inevitability of confrontation
Bro you're the best 💯🤙,bro youre the best
Best fight in the Entire Series along with Pain x Naruto and kurama The Best arc,best fight in the entire series along with pain x naruto and kurama the best arc
13:21 old school naruto music!,1321 old school naruto music
Nicee. Please Next Part Broo.,nicee please next part broo
I think fighting in taijutsu first is the way of respect fighting each other in naruto verse,i think fighting in taijutsu first is the way of respect fighting each other in naruto verse
i think everyone missed the subtle itachi hand helping out sasukes final chidori,i think everyone missed the subtle itachi hand helping out sasukes final chidori
Itachi’s hand was behind saduke’s chidori,itachis hand was behind sadukes chidori
Been waiting for this video,been waiting for this video
Naruto's wedding for next 🔥🔥,narutos wedding for next
That Genin fighting!😂😂😂,that genin fighting
I like how their fists are where they had their final hits on each other in classic naruto,i like how their fists are where they had their final hits on each other in classic naruto
The fact that all the beast chakra has consume by sasuke,the fact that all the beast chakra has consume by sasuke
"And what saved the world wasn't a tailed beast, a single man or woman standing above all, but the love naruto shared with others and they returned with interest.
 The love of a passed mentor started it, the fallen helped shape it, friends keep it in check and finally the unremitting love2 absentee parents poured the last light they had past the veil of death to finish it, the hand you saw with Sasuke wasnt helping him it was trying to stop him from repeating a beloved brother from making the biggedt mistake of all.",and what saved the world wasnt a tailed beast a single man or woman standing above all but the love naruto shared with others and they returned with interest the love of a passed mentor started it the fallen helped shape it friends keep it in check and finally the unremitting love2 absentee parents poured the last light they had past the veil of death to finish it the hand you saw with sasuke wasnt helping him it was trying to stop him from repeating a beloved brother from making the biggedt mistake of all
Sasuke tried his best to fight the plot,sasuke tried his best to fight the plot
This show how a powerful normal rasengan is. To be on par with Chidori merged with Sasuke's black flames.,this show how a powerful normal rasengan is to be on par with chidori merged with sasukes black flames
I still cry whenever Jiraya’s hand comes to help his student one last time,i still cry whenever jirayas hand comes to help his student one last time
did anyone noticed the last two hands forming naruto's rasengan was the hands of minato and kushina?,did anyone noticed the last two hands forming narutos rasengan was the hands of minato and kushina
And because of that I love Naruto,and because of that i love naruto
I swear Naruto tripping was Hella funny 🤣,i swear naruto tripping was hella funny
There's no way you cut it off here 😭,theres no way you cut it off here
I’m glad they didn’t leave out any of ability’s,im glad they didnt leave out any of abilitys
21:17 that music drop is insane,2117 that music drop is insane
The strongest Geninns battle :),the strongest geninns battle
Bro sasuke really hit him with a brutality 22:29,bro sasuke really hit him with a brutality 2229
Just think about how Madara and Hashirama didn't need the sage of six paths to lend them this power....they did it on their own🐐🐐,just think about how madara and hashirama didnt need the sage of six paths to lend them this powerthey did it on their own
Best fight in amine history!,best fight in amine history
Anyone realize itachi gives chakra to sasuke🥺,anyone realize itachi gives chakra to sasuke
Se necesita con urgencia la segunda parte,se necesita con urgencia la segunda parte
Any one saw itachi's hand at sasuke chidori,any one saw itachis hand at sasuke chidori
"""he lost your skirt, im so happy""",he lost your skirt im so happy
20:52 best part!,2052 best part
"who""s still here in august 2025",whos still here in august 2025
Still my favorite fight,still my favorite fight
👉🏻▶ Whatch it in HD (No watermarks): https://www.patreon.com/posts/sasuke-vs-naruto-99085333,whatch it in hd no watermarks
Not a lot of people have noticed but when they're doing their last rasengan and chidori you can see Itachi's hand next to Sasuke's chidori,not a lot of people have noticed but when theyre doing their last rasengan and chidori you can see itachis hand next to sasukes chidori
I still don't get why ppl are so obsessed with power ranks when the whole manga is about friendship and love. Kids these days...,i still dont get why ppl are so obsessed with power ranks when the whole manga is about friendship and love kids these days
One of the best fights in anime history.,one of the best fights in anime history
"when sasuke look at himself in the group and then looking down, i kinda cried",when sasuke look at himself in the group and then looking down i kinda cried
The fact that this battle is between 2 genins💀,the fact that this battle is between 2 genins
"Man, if Naruto wasn't the most forgiving person on the planet. lol",man if naruto wasnt the most forgiving person on the planet lol
"Idk how, when this episode aired, NO ONE figured out that Naruto showing his arm the way he did to Kurama was basically saying he was going to sacrifice it. The position of how he holds the arm gave it away completely I thought.",idk how when this episode aired no one figured out that naruto showing his arm the way he did to kurama was basically saying he was going to sacrifice it the position of how he holds the arm gave it away completely i thought
"To me this fight was the Endgame of anime. The build up to it over such a long stretch, the valley getting destroyed almost felt like a cleansing too. I'm so grateful to have followed this story and grow up with it too <3",to me this fight was the endgame of anime the build up to it over such a long stretch the valley getting destroyed almost felt like a cleansing too im so grateful to have followed this story and grow up with it too 3
cant belive sasuke said quit yapping 🤣🤣😂,cant belive sasuke said quit yapping
You know how good it is when fight scene made girls cry.,you know how good it is when fight scene made girls cry
"I'm amused by the fact that the final fight against Kaguya was about Team 7 reuniting, but after the threat passed, Sasuke was just like, ""Suck it, I'm going to rule the world and kill everyone who gets in the way.""",im amused by the fact that the final fight against kaguya was about team 7 reuniting but after the threat passed sasuke was just like suck it im going to rule the world and kill everyone who gets in the way
truly one of the best fights in all of fiction. literally all of the build up from the war leads to this fight. not to mention they represented the bond between them perfectly here.,truly one of the best fights in all of fiction literally all of the build up from the war leads to this fight not to mention they represented the bond between them perfectly here
the scene when they showed both their hands bring shiver down to the spine everytime,the scene when they showed both their hands bring shiver down to the spine everytime
"i always love the reactions and i love naruto, keep up the good work!😁❤",i always love the reactions and i love naruto keep up the good work
Shanks:haha welcome from group of the 1 arm,shankshaha welcome from group of the 1 arm
"i watched a shit ton of anime and no anime fight came close to this. naruto is not even my top5 but man what a fight. the entire series leads up to this. the animation, choreography, emotion. just holy peak.",i watched a shit ton of anime and no anime fight came close to this naruto is not even my top5 but man what a fight the entire series leads up to this the animation choreography emotion just holy peak
"i still think, that naruto was stronger at this point.",i still think that naruto was stronger at this point
Got emotional for a second,got emotional for a second
"Kakashi: that's why I ruined their fight when they were kids, so that this anime wouldn't end early",kakashi thats why i ruined their fight when they were kids so that this anime wouldnt end early
Why are so many old videos being deleted?😢,why are so many old videos being deleted
42:07 one of my favorite lines 😅,4207 one of my favorite lines
I noticed not a single person noticed the OG Naruto music kick in when they started fighting on the ground after the massive collision in the sky.,i noticed not a single person noticed the og naruto music kick in when they started fighting on the ground after the massive collision in the sky
Just masterpiece,just masterpiece
"55:46  best part ever!!!!
The way he shows emotions and the way the area around his eyes crinkles is chef's kiss 
Cheers to the animators",5546 best part ever the way he shows emotions and the way the area around his eyes crinkles is chefs kiss cheers to the animators
I wish more people had seen Itachi's hand helping sasuke's last chidori,i wish more people had seen itachis hand helping sasukes last chidori
Sad moments Naruto and Sasuke 🥹,sad moments naruto and sasuke
"i like the part where naruto said u were pretty stupid too, sasuke pretty much overall a lost angrty child, angry at his brother, the world, trying to fix things at his stubborn way",i like the part where naruto said u were pretty stupid too sasuke pretty much overall a lost angrty child angry at his brother the world trying to fix things at his stubborn way
"sasuke the only one who can make ninja weapons (shurikens, kunais, etc) useful",sasuke the only one who can make ninja weapons shurikens kunais etc useful
44:17 best part ong ❤,4417 best part ong
There’s always someone laughing in these videos,theres always someone laughing in these videos
To this day i still think this is the best final fight in all anime history. Perfectly executed well.,to this day i still think this is the best final fight in all anime history perfectly executed well
Alot of people don't notice that saskue had itachis help with his chidori. From the reactions iv seen of this. It's a nice touch when you see it,alot of people dont notice that saskue had itachis help with his chidori from the reactions iv seen of this its a nice touch when you see it
"The fact that Naruto is still holding back because Sasuke call him ""my one and only friend""",the fact that naruto is still holding back because sasuke call him my one and only friend
I'm still crying watching those scene where sasuke finally admit he lose to naruto and crying  😢,im still crying watching those scene where sasuke finally admit he lose to naruto and crying
Y’all know that what kishimoto is saying is that Naruto verse might just be his own omnipotence. Do you know how many possibilities this opens up fam?.,yall know that what kishimoto is saying is that naruto verse might just be his own omnipotence do you know how many possibilities this opens up fam
"Anyone commenting abt how Naruto was holding back bc he was trying not to kill Sasuke and therefore he's stronger than Sasuke, you're missing the point. If Naruto bent all of his power towards trying to kill Sasuke, ***He wouldn't be Naruto anymore.*** I get that it's fun to compare power levels but just take a second and think about what you're saying. It's like any classic Batman v Superman argument. If Superman tried to kill batman as effectively as possible, that wouldn't be Superman because Superman would never do that and there's nothing that could ever happen which would make him do that. 

There's no point arguing how Naruto has more raw power and could kill Sasuke at any time *because Naruto would never fucking do that* so it's a pointless argument.",anyone commenting abt how naruto was holding back bc he was trying not to kill sasuke and therefore hes stronger than sasuke youre missing the point if naruto bent all of his power towards trying to kill sasuke he wouldnt be naruto anymore i get that its fun to compare power levels but just take a second and think about what youre saying its like any classic batman v superman argument if superman tried to kill batman as effectively as possible that wouldnt be superman because superman would never do that and theres nothing that could ever happen which would make him do that theres no point arguing how naruto has more raw power and could kill sasuke at any time because naruto would never fucking do that so its a pointless argument
im still wondering how naruto did that uppercut that deadass saved his life on 41:08,im still wondering how naruto did that uppercut that deadass saved his life on 4108
Sasuke making a juubi susanoo is actually the craziest jutsu a shinobi has ever done,sasuke making a juubi susanoo is actually the craziest jutsu a shinobi has ever done
"""When I see you take on stuff and get all messed up...  It kinda hurts.""",when i see you take on stuff and get all messed up it kinda hurts
The third lady from the top face during the last Rasengan and Chidori Lmao.,the third lady from the top face during the last rasengan and chidori lmao
36:54 Naruto: i didn’t hear no bell,3654 naruto i didnt hear no bell
58:53 Finally Hashirama and Madara found PEACE in this Accursed World!!!,5853 finally hashirama and madara found peace in this accursed world
"the last part still put the most emotional part for me , especially when naruto and sasuke doing unison sign through their own bloods.",the last part still put the most emotional part for me especially when naruto and sasuke doing unison sign through their own bloods
20:40 a small observation where sasuke has a different vibe instead of pain always pushing away everything and fighting with that small distance sasuke will pull you to him and make you feel like you’re stuck in a room with him,2040 a small observation where sasuke has a different vibe instead of pain always pushing away everything and fighting with that small distance sasuke will pull you to him and make you feel like youre stuck in a room with him
"To think that sasuke had more tricks up his sleeve and Naruto just wanted to knock his ass out but held back is how they wanted to fight, and to do it where the rivalry began is even more legendary",to think that sasuke had more tricks up his sleeve and naruto just wanted to knock his ass out but held back is how they wanted to fight and to do it where the rivalry began is even more legendary
People forget in this fight Naruto indirectly let Sasuke borrowed his chakra..,people forget in this fight naruto indirectly let sasuke borrowed his chakra
Best comment was my boy got to go through all this on his birthday no birthday cake no nothing just some one is trying to kill him 😅,best comment was my boy got to go through all this on his birthday no birthday cake no nothing just some one is trying to kill him
Absolute cinema,absolute cinema
Watching this video 8th time still can go over it,watching this video 8th time still can go over it
Dont forget Naruto was holding back in 99% of this entire fight because he didn't want to kill Sasuke. The only time Naruto had to get a little serious was when Sasuke used the tailed beast chakra. This is shown even more when Sasuke took his Chakra and Naruto still had enough power to knock him far away with a lot of strength.,dont forget naruto was holding back in 99 of this entire fight because he didnt want to kill sasuke the only time naruto had to get a little serious was when sasuke used the tailed beast chakra this is shown even more when sasuke took his chakra and naruto still had enough power to knock him far away with a lot of strength
I still believe naruto intentionally trip himself at 36:00 seeing that he could have killed sasuke at that point,i still believe naruto intentionally trip himself at 3600 seeing that he could have killed sasuke at that point
Sasuke seriously thought that he could actually outlast Naruto in the one thing he has no chance at. Stamina. 😂,sasuke seriously thought that he could actually outlast naruto in the one thing he has no chance at stamina
Ay infinite instead of reposting the same vids can you post some reactions of original Naruto fights (no hate btw) like Naruto vs sasuke 1,ay infinite instead of reposting the same vids can you post some reactions of original naruto fights no hate btw like naruto vs sasuke 1
"Sasuke and Naruto put all their abilities, strength, and power into this fight, and we saw their true potential. If they had just used a part of this against Madara and Kaguya, they would have ended everything within minutes. But I don't know where this power was hidden.",sasuke and naruto put all their abilities strength and power into this fight and we saw their true potential if they had just used a part of this against madara and kaguya they would have ended everything within minutes but i dont know where this power was hidden
He made the ultimatum Susanno powered it up and lost,he made the ultimatum susanno powered it up and lost
"I think that the uppercut from Naruto is a bit controversial.  I've always assumed that an uppercut takes much less chakra than a ninjutsu and that is why he was able to hit so hard.  It's unexpected after the hours long slugfest, but he definitely got triggered by some memories at the time.  Plenty of moments like this in the series that make you scratch your head and theorize.",i think that the uppercut from naruto is a bit controversial ive always assumed that an uppercut takes much less chakra than a ninjutsu and that is why he was able to hit so hard its unexpected after the hours long slugfest but he definitely got triggered by some memories at the time plenty of moments like this in the series that make you scratch your head and theorize
Sasuke was getting riled pretty good 🫣😂,sasuke was getting riled pretty good
"I don’t care about who won or lost. 
Both of them won!!",i dont care about who won or lost both of them won
I don't care about all those supporting arms for Naruto.    Itachi's hand next to Sasuke was awesome.,i dont care about all those supporting arms for naruto itachis hand next to sasuke was awesome
Nobody speaks about itachi supporting Sasuke at the end,nobody speaks about itachi supporting sasuke at the end
For non novel readers the reason sasuke genjutsu’d sakura was because of his own love for her. Please go read his novel,for non novel readers the reason sasuke genjutsud sakura was because of his own love for her please go read his novel
what a journey,what a journey
20:26 and this is the only time he uses this technique,2026 and this is the only time he uses this technique
"On that sequence where it shows all of their stages, they should’ve added Sage mode Naruto and Akatsuki Sasuke like dang what a misopportunity",on that sequence where it shows all of their stages they shouldve added sage mode naruto and akatsuki sasuke like dang what a misopportunity
38:09 the girl😂,3809 the girl
uma curiosidade.. Eles reagiriam esse anime dublado em japonês ou inglês?,uma curiosidade eles reagiriam esse anime dublado em japons ou ingls
Please provide an Indonesian translation or subtitles in Indonesian ..because i'm indonesian people..,please provide an indonesian translation or subtitles in indonesian because im indonesian people
"Kishimoto, kudos to you. 
No words to express",kishimoto kudos to you no words to express
"Why did you keep the dubbed and subbed in the same reaction video, you can't hear either one properly",why did you keep the dubbed and subbed in the same reaction video you cant hear either one properly
"If Sasuke had won, Boruto would’ve never existed.",if sasuke had won boruto wouldve never existed
I know the sage looks at Naruto and Sasuke as his son's cuz that's the recantations of his real sons,i know the sage looks at naruto and sasuke as his sons cuz thats the recantations of his real sons
Can you delete those three who laughing? WTF?,can you delete those three who laughing wtf
"Og sasuke after 9 planetary devastation:

Fight 1/2 nine tail Beast and Naruto.

Current Sasuke after using multiple chidori :
aaaaa I am out of chakra 😣😣😣🫩🫩",og sasuke after 9 planetary devastation fight 12 nine tail beast and naruto current sasuke after using multiple chidori aaaaa i am out of chakra
if they both would have died would have also been kind of cool,if they both would have died would have also been kind of cool
39:22why she laughed thats not funny....they are just tired bro😢,3922why she laughed thats not funnythey are just tired bro
"If you pause when Sasuke make chidori you can see Itachi arms, Itachi still love his brothers even Sasuke criminal 5 village",if you pause when sasuke make chidori you can see itachi arms itachi still love his brothers even sasuke criminal 5 village
9:11 Sasuke Aura forming,911 sasuke aura forming
Sasuke won the first battle there was no way he was gonna win again it was either gonna be Naruto win or a tie besides Naruto never fought with the intent to kill him,sasuke won the first battle there was no way he was gonna win again it was either gonna be naruto win or a tie besides naruto never fought with the intent to kill him
i finish the anime right now.,i finish the anime right now
Hashirama the only reanimation that grew a plant when his soul returned. Truly the god among shinobies.,hashirama the only reanimation that grew a plant when his soul returned truly the god among shinobies
when they compare naruto and sasuke life in the end is pure gold,when they compare naruto and sasuke life in the end is pure gold
"3:09, 5:17, 9:03, 18:25, 27:29, 34:17, 49:27, 55:54",309 517 903 1825 2729 3417 4927 5554
Next time mute English dub audio 💀,next time mute english dub audio
Naruto spent his whole birthday fight dude 😅,naruto spent his whole birthday fight dude
"Yang satu ngalahin Susano + Kyuubi cuma modal kayu - kayuan, yang ini ngalahin Susano + 8,5 bijuu cuma modal setengah Kyuubi.... Para keturunan Ashura terlalu gacor wakk 🔥🔥🔥",yang satu ngalahin susano kyuubi cuma modal kayu kayuan yang ini ngalahin susano 85 bijuu cuma modal setengah kyuubi para keturunan ashura terlalu gacor wakk
"I think sasuke more stronger than naruto. Sasuke pure have power from uchiha and rikudo. But Naruto from uzumaki, senjutsu rikudo and ( add kurama ). How if naruto without kurama ???",i think sasuke more stronger than naruto sasuke pure have power from uchiha and rikudo but naruto from uzumaki senjutsu rikudo and add kurama how if naruto without kurama
"why didnt hagoromk try stop him, i haven't wacthed for a long time",why didnt hagoromk try stop him i havent wacthed for a long time
56:25 So peak 🥶,5625 so peak
coloca legenda em pt br agradeço,coloca legenda em pt br agradeo
i have no idea how boruto is going to top this,i have no idea how boruto is going to top this
"They both remind me the closest people we r with ....the more we get to learn from them ....mom,dad,shivu, brother,sister♾️💜✨",they both remind me the closest people we r with the more we get to learn from them momdadshivu brothersister
"45:00 
Itachi's hand",4500 itachis hand
WE ARE HERE! I CAN'T BELIEVE IT ... I have no words for this masterpiece .... I hope you guys enjoy this peak with me ❤‍🔥😭 Next 2 episodes posting soon!,we are here i cant believe it i have no words for this masterpiece i hope you guys enjoy this peak with me next 2 episodes posting soon
One of the greatest final fights between two rivals in anime history so many emotions and beliefs happening at once,one of the greatest final fights between two rivals in anime history so many emotions and beliefs happening at once
Jiraiya going first for the final rasengan makes me emotional every time. Love this show and your reactions has been amazing 🫶🏽🥺,jiraiya going first for the final rasengan makes me emotional every time love this show and your reactions has been amazing
"Naruto vs Sasuke final fight is one of the best anime fights, ever 🔥",naruto vs sasuke final fight is one of the best anime fights ever
NANDOMO NANDOMO NANDOMO NANDOMO !!! never gets old 🔥🔥🔥🔥🔥🔥🔥🔥🔥,nandomo nandomo nandomo nandomo never gets old
"7:25 ""Yours will be the last blood I shed, in memory of my late brother.""

The sub didn't convey his message clearly. He meant that Naruto's blood will be the last blood he sheds IN MEMORY of his late brother, that this is his last tie to Itachi. After he kills Naruto, he will cut himself completely from the past. All the blood he would shed next would be for himself.",725 yours will be the last blood i shed in memory of my late brother the sub didnt convey his message clearly he meant that narutos blood will be the last blood he sheds in memory of his late brother that this is his last tie to itachi after he kills naruto he will cut himself completely from the past all the blood he would shed next would be for himself
"you noticed a hand on sasuke's chidori immeadiately! that's why you are the goat flexie
praise the fool",you noticed a hand on sasukes chidori immeadiately thats why you are the goat flexie praise the fool
"Honestly, I can't believe these episodes aired almost 10 years ago. Heck, Boruto's anime turns 10 next year",honestly i cant believe these episodes aired almost 10 years ago heck borutos anime turns 10 next year
"This fight has so much riding on it after the whole series, truly one of the best and historically satisfying fights and endings",this fight has so much riding on it after the whole series truly one of the best and historically satisfying fights and endings
"I rewatched Naruto with you, it was a great journey! 🔥🫶🏻",i rewatched naruto with you it was a great journey
in this fight I didn't realize how many times Sasuke block Naruto from using the shadow clone jutsu and i also don't realize how many times i've seen this episode but i don't get bored,in this fight i didnt realize how many times sasuke block naruto from using the shadow clone jutsu and i also dont realize how many times ive seen this episode but i dont get bored
